signal,gamma,is_short,lb,hz,th,move_ratio,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02
G+做多,positive,False,30,15,0.001,70-100%,距Support,medium,17,0.008642453548481964,-2.820233841909563e-05,306.44457278869515,0.8235294117647058,0.0
G+做多,positive,False,30,30,0.001,70-100%,距Support,medium,17,0.009107476233300965,-4.758682737130499e-05,191.3864978271866,0.8235294117647058,0.0
G+做多,positive,False,15,15,0.001,70-100%,距Support,far,11,0.0023297535511954638,-5.638626371263618e-05,41.317750065311834,0.7272727272727273,0.0
G+做多,positive,False,15,15,0.002,70-100%,距HedgeWall,near,12,0.0016335966609256156,-4.121392649509084e-05,39.63700622216134,0.4166666666666667,0.16666666666666666
G-做多,negative,False,30,30,0.002,70-100%,距HedgeWall,near,13,0.0019240532186211704,-7.369606839005543e-05,26.107949320140435,0.38461538461538464,0.07692307692307693
G-做多,negative,False,30,15,0.002,70-100%,距HedgeWall,near,13,0.0017081895444377008,-7.369606839005543e-05,23.178842260575795,0.38461538461538464,0.0
G+做多,positive,False,30,15,0.001,70-100%,距Support,far,19,0.002164445300687124,-0.00011531988129350422,18.769055920013713,0.5263157894736842,0.0
G+做多,positive,False,10,15,0.001,>100%,距HedgeWall,far,17,0.004277702312728513,-0.00029613507260424607,14.445105320048395,0.8823529411764706,0.0
G+做多,positive,False,15,15,0.001,70-100%,距HedgeWall,far,23,0.0023297535511954638,-0.00018537493905987704,12.567791326113081,0.6956521739130435,0.17391304347826086
G-做空,negative,True,15,30,0.002,70-100%,距HedgeWall,near,15,0.005769508366313393,-0.0004692477297134281,12.295229152918568,0.6666666666666666,0.26666666666666666
G-做空,negative,True,10,30,0.002,70-100%,距HedgeWall,near,12,0.005667081441992842,-0.00050006453364793,11.332700203015687,0.6666666666666666,0.3333333333333333
G+做多,positive,False,30,15,0.002,>100%,距HedgeWall,far,12,0.004165418208288363,-0.0003751857411365299,11.10228282042459,1.0,0.0
G-做多,negative,False,30,15,0.002,<30%,距Support,near,23,0.001716095768727663,-0.00016345037691958502,10.499185141506004,0.34782608695652173,0.0
G-做多,negative,False,10,15,0.001,70-100%,距HedgeWall,near,15,0.001479492136161396,-0.00015305433428873798,9.66645043432958,0.3333333333333333,0.13333333333333333
G+做多,positive,False,10,30,0.001,>100%,距HedgeWall,far,17,0.004334790409822772,-0.00045507119968143424,9.5255213093188,0.8823529411764706,0.11764705882352941
G+做多,positive,False,30,30,0.002,>100%,距HedgeWall,far,12,0.00423978634560866,-0.000454653804675124,9.325307084229129,1.0,0.08333333333333333
G+做多,positive,False,15,15,0.002,>100%,距HedgeWall,far,12,0.004165418208288363,-0.000454653804675124,9.161736172569348,1.0,0.0
G+做多,positive,False,15,15,0.001,>100%,距HedgeWall,far,15,0.0038673510247170324,-0.00042399138971326803,9.121296136066347,0.8,0.0
G-做多,negative,False,15,15,0.001,<30%,距Support,near,31,0.0016951689951927422,-0.00019215551584670637,8.82185966779677,0.3548387096774194,0.16129032258064516
G+做空,positive,True,15,15,0.002,30-50%,距HedgeWall,medium,22,0.0019925017846948497,-0.0002283747626384288,8.724702159184949,0.5,0.0
G+做多,positive,False,30,15,0.001,70-100%,距HedgeWall,far,51,0.0023297535511954638,-0.0002721444839805702,8.560723028881222,0.6078431372549019,0.09803921568627451
G-做多,negative,False,15,30,0.002,<30%,距Support,near,13,0.002181285718175476,-0.0002589865296713804,8.422390619864434,0.5384615384615384,0.0
G+做多,positive,False,10,15,0.002,>100%,距Support,near,15,0.0037320335795620746,-0.00045507119968143424,8.200988289688798,1.0,0.0
G-做多,negative,False,30,15,0.001,<30%,距Support,near,27,0.0016951689951927422,-0.00020704027613428465,8.18762912629265,0.3333333333333333,0.037037037037037035
G+做多,positive,False,30,15,0.002,>100%,距Support,near,37,0.002640161515763381,-0.0003252692423614384,8.116849587732121,0.5405405405405406,0.0
G-做空,negative,True,15,15,0.002,70-100%,距HedgeWall,near,15,0.003631339925642593,-0.0004692477297134281,7.7386414375627774,0.6666666666666666,0.06666666666666667
G-做多,negative,False,15,30,0.001,<30%,距Support,far,23,0.0037366693638570207,-0.0004885324242470416,7.648764295668238,0.6086956521739131,0.0
G+做多,positive,False,10,30,0.001,70-100%,距HedgeWall,medium,29,0.0018860111814565637,-0.0002486885337032542,7.583828467568323,0.4827586206896552,0.034482758620689655
G+做多,positive,False,30,30,0.002,>100%,距Support,near,37,0.0031796548676818284,-0.0004281773519543075,7.426023009318675,0.6216216216216216,0.02702702702702703
G-做多,negative,False,10,30,0.001,70-100%,距HedgeWall,near,15,0.0017456123088202696,-0.00024629247231091835,7.087558513021127,0.3333333333333333,0.13333333333333333
G+做多,positive,False,15,15,0.002,>100%,距Support,near,23,0.003219090326713597,-0.00045507119968143424,7.073816864189764,0.8260869565217391,0.0
G-做空,negative,True,10,15,0.001,50-70%,距HedgeWall,medium,25,0.0016233961447348125,-0.00023153264084024754,7.011521739843672,0.28,0.04
G-做多,negative,False,15,30,0.002,<30%,距Support,far,14,0.0037376960983695005,-0.000535199031450473,6.9837497430437425,0.7142857142857143,0.0
G-做空,negative,True,10,15,0.002,70-100%,距HedgeWall,near,12,0.003479147861903102,-0.00050006453364793,6.957397751292222,0.6666666666666666,0.16666666666666666
G+做多,positive,False,15,15,0.002,70-100%,距HedgeWall,medium,13,0.0018742209034886552,-0.0002694775708308382,6.9550163218043055,0.46153846153846156,0.0
G+做多,positive,False,15,30,0.002,>100%,距HedgeWall,far,12,0.00423978634560866,-0.0006121011209196962,6.926610980940996,1.0,0.16666666666666666
G-做空,negative,True,15,30,0.002,>100%,距HedgeWall,near,16,0.006887576402942177,-0.0010072631742860181,6.837911460253992,0.9375,0.0625
G-做空,negative,True,15,15,0.001,50-70%,距HedgeWall,medium,30,0.001643110737202822,-0.00024714895564399583,6.64826089562616,0.26666666666666666,0.0
G+做多,positive,False,10,15,0.002,70-100%,距Support,near,19,0.0017893725276934538,-0.0002694775708308382,6.640153843514919,0.42105263157894735,0.21052631578947367
G-做空,negative,True,10,30,0.002,50-70%,距HedgeWall,far,17,0.0025839213362779017,-0.0003931099631702464,6.573024289284848,0.7058823529411765,0.29411764705882354
G-做多,negative,False,15,15,0.002,<30%,距Support,near,13,0.0016951689951927422,-0.0002589865296713804,6.545394454853259,0.38461538461538464,0.0
G+做多,positive,False,10,30,0.002,>100%,距Support,near,15,0.004025377763965691,-0.000627115415610581,6.41887866852459,1.0,0.13333333333333333
G-做多,negative,False,10,30,0.002,30-50%,距HedgeWall,near,14,0.0030882936427199083,-0.00048441622530701284,6.375289433715009,0.7142857142857143,0.21428571428571427
G-做多,negative,False,15,30,0.002,30-50%,距HedgeWall,near,31,0.00272811762886477,-0.00043863285224401467,6.219592570205157,0.6774193548387096,0.22580645161290322
G-做多,negative,False,30,30,0.002,<30%,距Support,near,23,0.002046381625217191,-0.0003309962079019691,6.182492658113069,0.5217391304347826,0.0
G-做多,negative,False,30,30,0.002,<30%,距Support,far,17,0.0035789668271292187,-0.0005818656386539043,6.15084753141438,0.5882352941176471,0.0
G-做空,negative,True,10,30,0.002,>100%,距HedgeWall,near,10,0.006395868607724214,-0.0010411343179901175,6.143173361215554,1.0,0.1
G+做多,positive,False,15,30,0.002,>100%,距Support,near,23,0.0037320335795620746,-0.000627115415610581,5.951111209614324,0.9130434782608695,0.08695652173913043
G+做多,positive,False,10,15,0.001,70-100%,距HedgeWall,medium,29,0.0013993301950865945,-0.00023943807970651577,5.8442257672705304,0.20689655172413793,0.034482758620689655
G-做空,negative,True,15,15,0.002,>100%,距HedgeWall,near,16,0.00488440973862697,-0.0008508564319844715,5.740580378801335,0.9375,0.0625
G+做多,positive,False,15,30,0.002,>100%,距HedgeWall,near,11,0.0035341177160104747,-0.000627115415610581,5.635514018690701,0.8181818181818182,0.0
G-做多,negative,False,15,30,0.002,50-70%,距Support,medium,13,0.001686633577370555,-0.0003132743704448024,5.383886255922531,0.38461538461538464,0.07692307692307693
G+做空,positive,True,10,15,0.002,30-50%,距Support,medium,14,0.0017288553852836288,-0.00032720029578274805,5.283783075891658,0.42857142857142855,0.0
G-做空,negative,True,15,30,0.001,50-70%,距HedgeWall,medium,30,0.0017513717292012986,-0.00033540936275166947,5.221594635382853,0.36666666666666664,0.0
G+做多,positive,False,10,30,0.001,>100%,距Support,near,38,0.0028048340997848466,-0.0005391008576250165,5.202800292586088,0.5789473684210527,0.05263157894736842
G-做空,negative,True,10,30,0.001,50-70%,距HedgeWall,medium,25,0.001703349570028253,-0.0003277855380419612,5.1965366751787565,0.32,0.08
G-做多,negative,False,30,15,0.002,30-50%,距HedgeWall,near,31,0.0017715097433035117,-0.0003418854683680585,5.181588301367591,0.3225806451612903,0.03225806451612903
G+做空,positive,True,30,15,0.002,50-70%,距HedgeWall,medium,27,0.001022821709390663,-0.00019880192603978852,5.14492857169781,0.1111111111111111,0.0
G+做多,positive,False,15,30,0.001,>100%,距HedgeWall,far,15,0.003944523315496363,-0.0007691310421579582,5.128545201386199,0.8,0.13333333333333333
G+做空,positive,True,15,15,0.002,50-70%,距Support,near,41,0.0017569597568367695,-0.0003426790824913615,5.12712869447192,0.36585365853658536,0.0
G+做多,positive,False,30,30,0.001,>100%,距Support,near,62,0.0023283610435389343,-0.000454653804675124,5.121173560183183,0.532258064516129,0.08064516129032258
G-做多,negative,False,10,30,0.001,<30%,距Support,far,24,0.003559628283554415,-0.0006959676494011926,5.114646185950027,0.5833333333333334,0.16666666666666666
G+做多,positive,False,15,30,0.001,>100%,距Support,near,57,0.0021791771175932594,-0.00043216568843686387,5.042457501601543,0.5087719298245614,0.03508771929824561
G+做空,positive,True,10,30,0.002,30-50%,距Support,medium,14,0.0028402267023341643,-0.0005646912772816976,5.029698202540696,0.8571428571428571,0.0
G+做多,positive,False,30,15,0.002,>100%,距HedgeWall,near,25,0.0016162176924351054,-0.0003252692423614384,4.96886112164017,0.32,0.0
G+做多,positive,False,30,30,0.002,>100%,距HedgeWall,near,25,0.0016162176924351054,-0.0003252692423614384,4.96886112164017,0.44,0.0
G+做多,positive,False,10,15,0.002,70-100%,距HedgeWall,medium,10,0.001727605770255399,-0.0003485003446449458,4.957256992142989,0.4,0.0
G+做空,positive,True,15,30,0.002,50-70%,距Support,far,15,0.003548195459610173,-0.0007247832719425369,4.8955261482517844,0.6666666666666666,0.0
G-做多,negative,False,15,30,0.001,<30%,距Support,near,31,0.0018584859010632177,-0.00038610556633042367,4.813413903162307,0.4838709677419355,0.16129032258064516
G-做多,negative,False,30,30,0.001,<30%,距Support,near,27,0.002046381625217191,-0.0004265759864947418,4.79722649657968,0.5185185185185185,0.037037037037037035
G-做多,negative,False,15,15,0.002,50-70%,距Support,medium,13,0.001472885251548619,-0.0003132743704448024,4.701582352419522,0.38461538461538464,0.0
G+做空,positive,True,15,30,0.002,30-50%,距Support,medium,40,0.0025847591433965328,-0.0005518879958070926,4.6834849879576135,0.65,0.025
G+做多,positive,False,15,15,0.001,>100%,距HedgeWall,near,45,0.0015121668857887233,-0.0003252692423614384,4.648969803632423,0.26666666666666666,0.0
G-做多,negative,False,15,15,0.001,<30%,距Support,far,23,0.002219878596127507,-0.0004885324242470416,4.543973922608986,0.5652173913043478,0.0
G-做空,negative,True,10,15,0.002,>100%,距HedgeWall,near,10,0.004561081465709764,-0.0010072631742860181,4.528192414999001,1.0,0.1
G-做空,negative,True,10,30,0.001,>100%,距HedgeWall,near,23,0.005281907323663212,-0.0011895327091643786,4.440321214347809,0.7391304347826086,0.17391304347826086
G+做多,positive,False,15,15,0.001,70-100%,距HedgeWall,medium,39,0.0011866209944234498,-0.0002694775708308382,4.4034128360476394,0.15384615384615385,0.0
G-做空,negative,True,15,15,0.001,50-70%,距Support,medium,19,0.0018676160133970772,-0.00043049391703128245,4.338309879675638,0.42105263157894735,0.10526315789473684
G-做多,negative,False,15,15,0.002,<30%,距Support,far,14,0.0022870626299670354,-0.000535199031450473,4.2732936637959495,0.6428571428571429,0.0
G-做多,negative,False,30,30,0.001,<30%,距Support,far,22,0.0028743340238306103,-0.0006772635974129902,4.244040333497894,0.5454545454545454,0.13636363636363635
G+做多,positive,False,15,15,0.002,>100%,距HedgeWall,near,11,0.002640161515763381,-0.000627115415610581,4.21000895535765,0.6363636363636364,0.0
G+做空,positive,True,30,30,0.002,30-50%,距HedgeWall,near,22,0.0022224052723703227,-0.0005305062432207057,4.189216056870681,0.5454545454545454,0.0
G-做空,negative,True,10,15,0.002,50-70%,距HedgeWall,far,17,0.0016432246327197433,-0.0003931099631702464,4.180063561523376,0.35294117647058826,0.23529411764705882
G+做空,positive,True,15,30,0.002,50-70%,距Support,near,41,0.002177083089320418,-0.0005213514388100548,4.1758455568655295,0.6097560975609756,0.024390243902439025
G+做空,positive,True,30,30,0.002,30-50%,距Support,near,23,0.002378161857428936,-0.000571519009601466,4.161124682602046,0.5652173913043478,0.0
G+做多,positive,False,30,15,0.001,>100%,距Support,near,62,0.0016036680705174252,-0.0003855331898135098,4.159610930755798,0.3709677419354839,0.04838709677419355
G+做空,positive,True,15,15,0.002,50-70%,距HedgeWall,near,30,0.0014948584849266214,-0.0003635533233222867,4.111799807703705,0.23333333333333334,0.0
G+做空,positive,True,15,30,0.002,50-70%,距HedgeWall,near,30,0.002148594831035429,-0.0005235998249761202,4.103505632633509,0.5333333333333333,0.03333333333333333
G-做多,negative,False,10,30,0.001,<30%,距Support,near,28,0.0017627934746195866,-0.0004301513481763569,4.098077297892979,0.42857142857142855,0.21428571428571427
G-做空,negative,True,10,15,0.001,70-100%,距Support,far,28,0.0016043897922829922,-0.00039154848614681435,4.097550747984282,0.42857142857142855,0.21428571428571427
G+做多,positive,False,10,15,0.001,>100%,距Support,near,38,0.001999735482091714,-0.0004889616507810759,4.089759347992428,0.5,0.0
G-做多,negative,False,15,15,0.001,30-50%,距HedgeWall,near,57,0.001596992905926167,-0.000393305266755257,4.06044119139633,0.3157894736842105,0.10526315789473684
G+做多,positive,False,30,15,0.001,>100%,距HedgeWall,near,49,0.001469667000070258,-0.0003624112428021534,4.055246710082266,0.20408163265306123,0.061224489795918366
G+做多,positive,False,15,15,0.002,70-100%,距Support,near,30,0.0016344778684442406,-0.0004036089665840054,4.0496569793229495,0.4,0.2
G+做空,positive,True,15,30,0.002,30-50%,距HedgeWall,far,28,0.002866104998403866,-0.0007091018336862897,4.041880675310517,0.5714285714285714,0.10714285714285714
G-做空,negative,True,15,30,0.001,50-70%,距Support,medium,19,0.002348031037942611,-0.0005819598388326306,4.03469600694885,0.5789473684210527,0.10526315789473684
G+做多,positive,False,30,30,0.001,70-100%,距Support,far,19,0.002413159823297685,-0.0006006424649772457,4.017631060083478,0.8421052631578947,0.0
G+做多,positive,False,15,15,0.001,>100%,距Support,near,57,0.001632660370825762,-0.00040865513682486617,3.9952033480138467,0.42105263157894735,0.0
G+做多,positive,False,15,30,0.001,>100%,距HedgeWall,near,45,0.001632660370825762,-0.00040865513682486617,3.9952033480138467,0.37777777777777777,0.0
G-做多,negative,False,15,30,0.002,50-70%,距HedgeWall,far,35,0.0035884010302670868,-0.0009001460270619692,3.9864654427009416,0.6285714285714286,0.37142857142857144
G-做多,negative,False,10,15,0.001,<30%,距Support,near,28,0.0016121379873111144,-0.0004063407764125827,3.9674531351345648,0.32142857142857145,0.21428571428571427
G+做空,positive,True,30,15,0.002,30-50%,距Support,medium,71,0.0011957097221313323,-0.0003053671565204136,3.9156461217249463,0.323943661971831,0.028169014084507043
G-做多,negative,False,30,15,0.002,50-70%,距Support,medium,31,0.001224322615687357,-0.0003132743704448024,3.908148036333146,0.2903225806451613,0.03225806451612903
G-做多,negative,False,30,15,0.001,30-50%,距HedgeWall,near,63,0.0016921395772154335,-0.00043863285224401467,3.857758415856375,0.30158730158730157,0.07936507936507936
G+做空,positive,True,15,30,0.002,50-70%,距HedgeWall,far,27,0.0027703405137616704,-0.0007247832719425369,3.822301950121873,0.6666666666666666,0.0
G+做多,positive,False,15,30,0.002,70-100%,距HedgeWall,near,12,0.0019101305318645332,-0.0004997496250507838,3.822175017480861,0.5,0.16666666666666666
G+做空,positive,True,15,30,0.002,30-50%,距HedgeWall,medium,22,0.0022155538101426243,-0.0005875219696201303,3.7710144040658062,0.5909090909090909,0.045454545454545456
G-做多,negative,False,30,15,0.002,<30%,距Support,far,17,0.002187988187288092,-0.0005818656386539043,3.760297982795157,0.5294117647058824,0.0
G+做空,positive,True,10,30,0.002,50-70%,距HedgeWall,far,10,0.002793468943355858,-0.0007517052673232604,3.7161758268677474,0.9,0.0
G+做多,positive,False,30,30,0.001,>100%,距HedgeWall,near,49,0.0015908073421877114,-0.0004281773519543075,3.7153000618245513,0.40816326530612246,0.061224489795918366
G+做空,positive,True,30,15,0.002,30-50%,距HedgeWall,far,41,0.0015991494569463428,-0.0004307449697748179,3.7125203290994575,0.4146341463414634,0.0975609756097561
G-做空,negative,True,10,30,0.001,50-70%,距Support,medium,11,0.002348031037942611,-0.0006500358410172777,3.6121562685959665,0.6363636363636364,0.18181818181818182
G-做多,negative,False,15,15,0.002,30-50%,距HedgeWall,near,31,0.0015707026416635688,-0.00043863285224401467,3.580905154796238,0.2903225806451613,0.03225806451612903
