signal,gamma,is_short,lb,hz,th,move_ratio,dist_field,dist_bin,n,mfe_p50,mae_p50,mfe_mae,pct_mfe_02,pct_mae_02
G-做多,negative,False,15,30,0.002,<30%,距HedgeWall,far,165,0.0026772566367662854,-0.0007516848500646413,3.5616743327154383,0.6,0.26666666666666666
G+做多,positive,False,30,30,0.001,70-100%,距HedgeWall,far,51,0.002727099422710565,-0.0007710637565929388,3.5368014634232896,0.803921568627451,0.21568627450980393
G+做多,positive,False,15,30,0.002,70-100%,距HedgeWall,medium,13,0.0025033504807719965,-0.0007184107758689851,3.4845669982385212,0.6153846153846154,0.0
G+做空,positive,True,10,30,0.002,30-50%,距HedgeWall,far,14,0.002866104998403866,-0.0008248922477748614,3.4745204675339787,0.7857142857142857,0.14285714285714285
G-做多,negative,False,15,30,0.002,<30%,距Support,medium,94,0.002188657369880581,-0.0006320372684358454,3.462861257053768,0.5212765957446809,0.24468085106382978
G-做多,negative,False,15,15,0.002,50-70%,距HedgeWall,far,35,0.002449221529680224,-0.0007089132616661592,3.4548959119819784,0.5714285714285714,0.22857142857142856
G+做空,positive,True,15,15,0.002,30-50%,距Support,medium,40,0.0010541737631994696,-0.00030523095896475074,3.453692137831961,0.375,0.0
G-做多,negative,False,10,15,0.002,>100%,距Support,near,18,0.0028155795931692246,-0.0008301380326007795,3.3917005155734876,0.6666666666666666,0.2222222222222222
G-做多,negative,False,10,15,0.001,<30%,距Support,far,24,0.0021172408156457053,-0.0006277220666131822,3.3728953118839473,0.5416666666666666,0.08333333333333333
G-做多,negative,False,15,15,0.001,50-70%,距Support,medium,30,0.0014955627855517649,-0.00044434324904197924,3.3657826213771775,0.36666666666666664,0.1
G-做空,negative,True,15,15,0.001,70-100%,距Support,far,28,0.0013409126281862004,-0.00040806032864807384,3.2860646675179557,0.39285714285714285,0.25
G-做多,negative,False,15,30,0.001,30-50%,距HedgeWall,near,57,0.0022886935536882485,-0.0006992220029859262,3.273200133741093,0.543859649122807,0.24561403508771928
G+做多,positive,False,30,30,0.002,30-50%,距HedgeWall,medium,22,0.0016215014040141984,-0.0004969406120985503,3.2629681787662626,0.13636363636363635,0.0
G-做空,negative,True,15,15,0.002,70-100%,距Support,far,21,0.002167330001000196,-0.0006731852426877679,3.219515021373444,0.5238095238095238,0.23809523809523808
G-做多,negative,False,15,30,0.001,50-70%,距Support,medium,30,0.0016487124198037132,-0.0005185093185165112,3.179716084024847,0.4,0.13333333333333333
G+做多,positive,False,10,30,0.001,>100%,距HedgeWall,near,27,0.0016418838897993197,-0.000517358421727727,3.1735907271330803,0.4074074074074074,0.0
G+做多,positive,False,10,30,0.002,70-100%,距HedgeWall,medium,10,0.0024418098588109964,-0.0007967813051609691,3.0645923078198876,0.6,0.0
G+做空,positive,True,30,30,0.002,<30%,距HedgeWall,medium,93,0.0016034906870834118,-0.000533453702373917,3.005866638375053,0.2903225806451613,0.25806451612903225
G+做空,positive,True,10,30,0.002,50-70%,距HedgeWall,near,12,0.0021807352875320395,-0.000729032268066386,2.9912740259303043,0.5833333333333334,0.08333333333333333
G-做多,negative,False,10,15,0.002,30-50%,距HedgeWall,near,14,0.0014397790126972954,-0.00048441622530701284,2.9721940295967455,0.42857142857142855,0.21428571428571427
G+做多,positive,False,10,15,0.001,>100%,距HedgeWall,near,27,0.0015355069187345221,-0.000517358421727727,2.967975110188932,0.2962962962962963,0.0
G+做空,positive,True,10,15,0.002,50-70%,距HedgeWall,far,10,0.002229963609826681,-0.0007517052673232604,2.966539821873719,0.7,0.0
G-做多,negative,False,30,15,0.001,30-50%,距HedgeWall,medium,47,0.0012052217246858628,-0.0004064306358381229,2.9653810968272825,0.19148936170212766,0.1276595744680851
G+做多,positive,False,10,15,0.001,70-100%,距HedgeWall,far,19,0.0016879650998663385,-0.0005743867149443394,2.9387258722199205,0.47368421052631576,0.2631578947368421
G-做多,negative,False,15,30,0.002,70-100%,距Support,far,12,0.003524884184309318,-0.0012039803048413018,2.9276925628562815,0.5833333333333334,0.4166666666666667
G+做多,positive,False,30,30,0.002,<30%,距HedgeWall,near,86,0.0020666029999878983,-0.0007120793246472209,2.9022089652887155,0.5232558139534884,0.09302325581395349
G+做多,positive,False,10,30,0.002,70-100%,距Support,near,19,0.0025033504807719965,-0.0008751518344529529,2.860475613739428,0.631578947368421,0.21052631578947367
G+做空,positive,True,10,15,0.002,50-70%,距Support,near,19,0.0018022660824063826,-0.0006318162240201275,2.8525163075726407,0.3157894736842105,0.05263157894736842
G+做空,positive,True,10,30,0.002,50-70%,距Support,near,19,0.0022048392268130116,-0.0007786272627039839,2.8317005227329686,0.7368421052631579,0.05263157894736842
G-做空,negative,True,10,15,0.001,30-50%,距HedgeWall,medium,44,0.0015790457281479034,-0.0005581493330950454,2.829073931508242,0.4090909090909091,0.0
G-做多,negative,False,15,15,0.002,<30%,距Support,medium,94,0.0016827585649696669,-0.0006009998107853679,2.7999319380328758,0.425531914893617,0.20212765957446807
G+做多,positive,False,30,15,0.002,30-50%,距HedgeWall,medium,22,0.0013881063105310896,-0.0004969406120985503,2.7933042233541756,0.045454545454545456,0.0
G-做空,negative,True,15,15,0.002,50-70%,距Support,near,25,0.0016471270729678934,-0.0005957576100587714,2.7647604414241633,0.32,0.24
G-做多,negative,False,30,15,0.002,50-70%,距HedgeWall,far,57,0.0019592792480668383,-0.0007089132616661592,2.7637785241341706,0.47368421052631576,0.12280701754385964
G+做多,positive,False,30,30,0.002,<30%,距Support,near,105,0.0020032260130440275,-0.000725911825910186,2.7595996394359306,0.5047619047619047,0.09523809523809523
G-做空,negative,True,10,30,0.001,70-100%,距HedgeWall,medium,42,0.001602041761935943,-0.0005831798426756473,2.7470801366962982,0.40476190476190477,0.3333333333333333
G+做空,positive,True,30,15,0.002,50-70%,距Support,near,80,0.0014133910387161101,-0.0005175368916749068,2.730995725042802,0.2125,0.05
G+做空,positive,True,30,30,0.002,30-50%,距Support,medium,71,0.0015991494569463428,-0.0005859247524283582,2.729274450889277,0.4084507042253521,0.04225352112676056
G-做多,negative,False,15,15,0.002,<30%,距HedgeWall,far,165,0.0016951689951927422,-0.0006228612708481483,2.721583560468346,0.4,0.18181818181818182
G-做多,negative,False,15,30,0.002,30-50%,距Support,near,33,0.0018920992073638346,-0.0006958734851340969,2.7190275930677563,0.48484848484848486,0.030303030303030304
G-做多,negative,False,30,15,0.001,<30%,距Support,far,22,0.0017335493960195089,-0.0006389289161019577,2.7132116771232124,0.45454545454545453,0.045454545454545456
G+做空,positive,True,30,15,0.002,<30%,距HedgeWall,medium,93,0.0010807410455014339,-0.000404589618055853,2.6712031087071524,0.12903225806451613,0.08602150537634409
G+做空,positive,True,30,30,0.002,50-70%,距Support,near,80,0.001823996565572721,-0.0006829930820232203,2.6705930317325075,0.4375,0.0875
G+做空,positive,True,30,15,0.002,<30%,距Support,medium,137,0.000971928846460649,-0.000366744963805696,2.6501491291795447,0.08759124087591241,0.08029197080291971
G-做多,negative,False,30,30,0.002,<30%,距HedgeWall,far,216,0.0023403347559873408,-0.000899725728672823,2.6011646454076027,0.5509259259259259,0.24074074074074073
G-做空,negative,True,10,15,0.001,50-70%,距Support,medium,11,0.0016432246327197433,-0.0006337107399872125,2.5930200153352327,0.45454545454545453,0.18181818181818182
G-做多,negative,False,10,30,0.002,<30%,距Support,medium,65,0.0028382185322872373,-0.0011010354868721476,2.577772075585073,0.5692307692307692,0.3230769230769231
G+做空,positive,True,30,30,0.002,30-50%,距HedgeWall,far,41,0.001632568802671492,-0.000637057002624723,2.5626730354508074,0.4146341463414634,0.0975609756097561
G+做空,positive,True,30,30,0.002,<30%,距Support,medium,137,0.0013872359471961949,-0.000545253099218616,2.5442055243412582,0.29927007299270075,0.291970802919708
G-做多,negative,False,30,15,0.002,30-50%,距Support,medium,55,0.001519834825498166,-0.0005999822115826059,2.5331331432130537,0.38181818181818183,0.16363636363636364
G-做多,negative,False,15,30,0.002,30-50%,距Support,medium,49,0.0018157564296748803,-0.0007239493443575643,2.5081263541804715,0.4489795918367347,0.3673469387755102
G-做空,negative,True,30,30,0.002,30-50%,距HedgeWall,near,27,0.002266632709622344,-0.0009085089509119557,2.4948930963719316,0.5555555555555556,0.25925925925925924
G-做多,negative,False,10,30,0.002,<30%,距HedgeWall,far,106,0.002299679969303271,-0.000927860388726021,2.478476285059219,0.5943396226415094,0.33962264150943394
G+做多,positive,False,30,30,0.001,<30%,距Support,near,276,0.0016791653599865374,-0.0006786041755379807,2.474440064644955,0.36594202898550726,0.09057971014492754
G-做空,negative,True,10,15,0.001,>100%,距HedgeWall,near,23,0.0029421248975655843,-0.0011895327091643786,2.473345100053923,0.6521739130434783,0.08695652173913043
G-做空,negative,True,15,15,0.002,30-50%,距HedgeWall,medium,18,0.0021761431566970635,-0.0008844588866710536,2.4604231915037684,0.5,0.0
G-做多,negative,False,30,30,0.002,50-70%,距HedgeWall,far,57,0.0033151349349516495,-0.00135148454230224,2.452958085117534,0.6842105263157895,0.2631578947368421
G+做空,positive,True,30,15,0.002,50-70%,距HedgeWall,near,70,0.0012634059292138218,-0.0005175368916749068,2.4411900862275844,0.21428571428571427,0.05714285714285714
G-做空,negative,True,30,15,0.001,30-50%,距HedgeWall,near,66,0.0016076559932061607,-0.0006594778828410487,2.4377709018539555,0.3939393939393939,0.15151515151515152
G-做多,negative,False,30,15,0.002,<30%,距HedgeWall,far,216,0.0017031537131427165,-0.0007020228617488003,2.4260658818147487,0.4166666666666667,0.12962962962962962
G-做空,negative,True,30,15,0.001,50-70%,距Support,medium,27,0.0014311841466978815,-0.0005922170920182233,2.4166545781725635,0.3333333333333333,0.07407407407407407
G-做多,negative,False,30,30,0.002,30-50%,距HedgeWall,near,31,0.0020456885163087205,-0.0008468897055033103,2.415531211461543,0.5483870967741935,0.06451612903225806
G-做空,negative,True,15,30,0.002,>100%,距HedgeWall,medium,67,0.002595840324163376,-0.0010882180053356225,2.385404681264009,0.6417910447761194,0.34328358208955223
G-做空,negative,True,15,15,0.001,50-70%,距HedgeWall,near,38,0.0014136758846793982,-0.0005985323424267116,2.36190391808693,0.23684210526315788,0.0
G-做多,negative,False,15,15,0.001,30-50%,距Support,near,55,0.0013395358262508331,-0.0005752331346300751,2.3286833556837285,0.10909090909090909,0.01818181818181818
G+做多,positive,False,15,30,0.002,70-100%,距Support,near,30,0.0023988933235376754,-0.0010381882479498883,2.310653514210716,0.5666666666666667,0.2
G+做多,positive,False,15,30,0.001,<30%,距Support,near,228,0.001703633076146246,-0.0007403337354194098,2.301169046661251,0.38596491228070173,0.12280701754385964
G-做多,negative,False,30,30,0.002,30-50%,距HedgeWall,medium,31,0.0020322604422233783,-0.0008835690771896017,2.3000583595427067,0.5161290322580645,0.06451612903225806
G-做多,negative,False,30,30,0.001,30-50%,距HedgeWall,near,63,0.0020604466412068386,-0.0008969217468913554,2.297242371865939,0.5396825396825397,0.19047619047619047
G+做多,positive,False,10,30,0.001,<30%,距HedgeWall,far,90,0.0015039449105193675,-0.0006570256604635511,2.289020050538497,0.3111111111111111,0.14444444444444443
G+做多,positive,False,15,30,0.001,70-100%,距HedgeWall,medium,39,0.001644193101995527,-0.0007184107758689851,2.2886531733975195,0.3333333333333333,0.15384615384615385
G-做多,negative,False,30,30,0.001,>100%,距HedgeWall,medium,160,0.001765162499185121,-0.0007716456584646289,2.2875298782829003,0.375,0.1875
G-做空,negative,True,15,30,0.001,>100%,距HedgeWall,medium,146,0.00235626585381087,-0.0010303667138935485,2.286822567187769,0.6095890410958904,0.273972602739726
G-做空,negative,True,30,30,0.002,50-70%,距Support,medium,11,0.0016673118023686699,-0.0007343348175524243,2.2705062629685813,0.36363636363636365,0.0
G+做空,positive,True,30,15,0.001,<30%,距HedgeWall,far,243,0.0007760545211435003,-0.0003437245406158613,2.2577803719019327,0.06995884773662552,0.03292181069958848
G+做空,positive,True,15,15,0.001,50-70%,距HedgeWall,near,95,0.0009500181621119281,-0.000421356944928078,2.2546635899737884,0.17894736842105263,0.0
G-做多,negative,False,30,15,0.001,30-50%,距Support,near,70,0.0012881525425626292,-0.0005714831127858686,2.254051806155981,0.2,0.02857142857142857
G+做空,positive,True,30,30,0.001,30-50%,距HedgeWall,far,138,0.0013841547981292613,-0.0006156561957456896,2.248259349445444,0.3115942028985507,0.10144927536231885
G+做空,positive,True,10,30,0.001,<30%,距HedgeWall,far,107,0.0011766262967978231,-0.0005265598237780322,2.23455387909318,0.21495327102803738,0.037383177570093455
G+做多,positive,False,10,30,0.001,<30%,距Support,near,185,0.001598324675741345,-0.0007203980563834851,2.218668778432293,0.3621621621621622,0.12972972972972974
G-做多,negative,False,10,30,0.002,50-70%,距HedgeWall,far,17,0.002315016772213694,-0.0010439386874051217,2.2175792507202146,0.5294117647058824,0.47058823529411764
G+做空,positive,True,15,30,0.001,50-70%,距HedgeWall,near,95,0.00126291857365877,-0.0005713191834142872,2.2105306636325137,0.3263157894736842,0.05263157894736842
G-做空,negative,True,15,30,0.001,70-100%,距HedgeWall,medium,56,0.0015941241202653976,-0.0007222960164791588,2.207023275631473,0.375,0.35714285714285715
G-做空,negative,True,30,15,0.001,50-70%,距HedgeWall,medium,53,0.0007227148837195927,-0.0003277855380419612,2.20484066513964,0.1320754716981132,0.07547169811320754
G+做多,positive,False,15,30,0.002,<30%,距Support,near,51,0.0015504612770810338,-0.0007037605929109567,2.2031089729930446,0.3137254901960784,0.2549019607843137
G-做空,negative,True,15,15,0.001,50-70%,距Support,near,65,0.0016610976260946994,-0.0007567677080664179,2.1949900985322075,0.36923076923076925,0.23076923076923078
G-做多,negative,False,15,15,0.002,30-50%,距Support,near,33,0.0012076467417364177,-0.0005511792256080577,2.191023691802152,0.09090909090909091,0.030303030303030304
G+做空,positive,True,10,15,0.001,<30%,距HedgeWall,far,107,0.0008590739503692015,-0.0003923479031995329,2.18957191656587,0.028037383177570093,0.018691588785046728
G-做多,negative,False,30,30,0.001,30-50%,距HedgeWall,medium,47,0.0018920992073638346,-0.0008685298664390015,2.1785079367753903,0.44680851063829785,0.14893617021276595
G-做空,negative,True,10,30,0.001,>100%,距HedgeWall,medium,127,0.002277401093923472,-0.001055024024404213,2.1586248665849603,0.5590551181102362,0.31496062992125984
G-做多,negative,False,30,30,0.002,30-50%,距Support,medium,55,0.002220710988607468,-0.0010324328391902585,2.1509495865602077,0.5272727272727272,0.2727272727272727
G-做空,negative,True,30,30,0.001,<30%,距Support,far,57,0.0016057157588479558,-0.0007466115322765479,2.150670984081709,0.2982456140350877,0.15789473684210525
G-做多,negative,False,10,15,0.002,<30%,距HedgeWall,far,106,0.0017177810112166403,-0.0008005123011873361,2.145852110790543,0.3867924528301887,0.2641509433962264
G-做多,negative,False,15,15,0.002,70-100%,距Support,far,12,0.0018844686362878649,-0.0008816187850382382,2.1375096223773524,0.5,0.08333333333333333
G-做多,negative,False,30,30,0.002,50-70%,距Support,medium,31,0.001224322615687357,-0.000575412127639156,2.1277316846111662,0.2903225806451613,0.03225806451612903
G+做多,positive,False,30,15,0.002,<30%,距HedgeWall,near,86,0.001065390246340646,-0.0005011974869518236,2.125689521749446,0.16279069767441862,0.09302325581395349
G-做多,negative,False,30,15,0.002,30-50%,距HedgeWall,medium,31,0.0011530223183575687,-0.0005431765143115098,2.122739639837069,0.1935483870967742,0.06451612903225806
G+做多,positive,False,30,15,0.002,<30%,距Support,near,105,0.0010839153136084406,-0.0005119685409188622,2.117152182169376,0.14285714285714285,0.09523809523809523
G+做多,positive,False,10,30,0.001,<30%,距HedgeWall,near,131,0.0015504612770810338,-0.0007375738484882637,2.1021098839917784,0.3893129770992366,0.13740458015267176
G+做多,positive,False,15,15,0.002,50-70%,距HedgeWall,medium,11,0.0018398241490813203,-0.0008780715762278559,2.0953008830841524,0.45454545454545453,0.0
G+做多,positive,False,30,15,0.001,<30%,距Support,near,276,0.001065390246340646,-0.0005102358733353369,2.0880347737534537,0.14492753623188406,0.07246376811594203
G-做多,negative,False,10,30,0.001,30-50%,距HedgeWall,medium,45,0.0018077199568071526,-0.0008835690771896017,2.0459294054937156,0.35555555555555557,0.3111111111111111
G+做空,positive,True,30,30,0.002,50-70%,距HedgeWall,near,70,0.0014890167423482177,-0.000729422969436546,2.0413625629289296,0.38571428571428573,0.1
G+做空,positive,True,30,15,0.001,<30%,距Support,medium,492,0.0007767902432674279,-0.0003809336923832315,2.0391744253641706,0.07317073170731707,0.04878048780487805
G+做空,positive,True,30,30,0.001,<30%,距HedgeWall,far,243,0.0010584923770883524,-0.0005197414901379625,2.036574714878701,0.23045267489711935,0.1522633744855967
G-做多,negative,False,10,15,0.002,<30%,距Support,medium,65,0.0017507890772761078,-0.0008599475296463576,2.0359254686109716,0.4461538461538462,0.26153846153846155
G+做多,positive,False,15,30,0.001,<30%,距Support,far,15,0.0023453218222194297,-0.0011538171634651675,2.032663316582942,0.6666666666666666,0.3333333333333333
G+做多,positive,False,15,30,0.001,<30%,距HedgeWall,near,168,0.001553944623018756,-0.0007673255698246095,2.0251438035278126,0.39880952380952384,0.14285714285714285
G-做空,negative,True,30,30,0.001,>100%,距HedgeWall,medium,203,0.002188634816790835,-0.0010882180053356225,2.011209891822942,0.541871921182266,0.29064039408866993
G-做多,negative,False,15,30,0.001,>100%,距HedgeWall,medium,109,0.001802948664811324,-0.0009011278919832116,2.0007689040047087,0.3761467889908257,0.1651376146788991
